ID;sourceStore_ID;destStore_ID;transferDate;distance;co2Emissions;status
c1000001-0001-0001-0001-000000000001;a1b2c3d4-1111-1111-1111-000000000001;a1b2c3d4-1111-1111-1111-000000000029;2025-11-15;2.5;0.45;Completed
c1000001-0001-0001-0001-000000000002;a1b2c3d4-1111-1111-1111-000000000005;a1b2c3d4-1111-1111-1111-000000000011;2025-12-20;545.0;98.10;InTransit
c1000001-0001-0001-0001-000000000003;a1b2c3d4-1111-1111-1111-000000000003;a1b2c3d4-1111-1111-1111-000000000033;2026-01-10;310.0;55.80;Planned
c1000001-0001-0001-0001-000000000004;a1b2c3d4-1111-1111-1111-000000000010;a1b2c3d4-1111-1111-1111-000000000023;2025-10-05;78.0;14.04;Completed
c1000001-0001-0001-0001-000000000005;a1b2c3d4-1111-1111-1111-000000000002;a1b2c3d4-1111-1111-1111-000000000030;2025-09-28;1.2;0.22;Completed
c1000001-0001-0001-0001-000000000006;a1b2c3d4-1111-1111-1111-000000000007;a1b2c3d4-1111-1111-1111-000000000047;2025-12-18;8.5;1.53;InTransit
c1000001-0001-0001-0001-000000000007;a1b2c3d4-1111-1111-1111-000000000004;a1b2c3d4-1111-1111-1111-000000000022;2026-02-01;620.0;111.60;Planned
c1000001-0001-0001-0001-000000000008;a1b2c3d4-1111-1111-1111-000000000031;a1b2c3d4-1111-1111-1111-000000000009;2025-12-22;575.0;103.50;InTransit
c1000001-0001-0001-0001-000000000009;a1b2c3d4-1111-1111-1111-000000000009;a1b2c3d4-1111-1111-1111-000000000005;2026-01-18;960.0;172.80;InTransit
c1000001-0001-0001-0001-000000000010;a1b2c3d4-1111-1111-1111-000000000005;a1b2c3d4-1111-1111-1111-000000000003;2026-02-05;880.0;158.40;Planned
