ID;name;address;city;country;latitude;longitude;phone;openingHours
a1b2c3d4-1111-1111-1111-000000000001;Fashion Store Flagship Store Oxford Street;481-483 Oxford St;London;United Kingdom;51.5152800;-0.1415300;+44 20 7493 4004;Mon-Sat 09:30-21:00 Sun 12:00-18:00
a1b2c3d4-1111-1111-1111-000000000002;Fashion Store Times Square;1472 Broadway;New York;USA;40.7565800;-73.9869500;+1 855-466-7467;Mon-Sun 10:00-22:00
a1b2c3d4-1111-1111-1111-000000000003;Fashion Store Champs-Elysees;88 Av. des Champs-Elysees;Paris;France;48.8718200;2.3044900;+33 1 55 35 89 00;Mon-Sun 10:00-21:00
a1b2c3d4-1111-1111-1111-000000000004;Fashion Store Serrano;Calle de Serrano 32;Madrid;Spain;40.4266500;-3.6862100;+34 914 35 45 06;Mon-Sat 10:00-21:00 Sun 11:00-21:00
a1b2c3d4-1111-1111-1111-000000000005;Fashion Store Kurfuerstendamm;Kurfuerstendamm 17;Berlin;Germany;50.5036300;13.3672400;+49 30 2091 6830;Mon-Sat 10:00-20:00
a1b2c3d4-1111-1111-1111-000000000006;Fashion Store Drottninggatan;Drottninggatan 50;Stockholm;Sweden;59.3346700;18.0635500;+46 8 796 55 00;Mon-Fri 10:00-20:00 Sat 10:00-18:00 Sun 11:00-18:00
a1b2c3d4-1111-1111-1111-000000000007;Fashion Store Shibuya;1-21-3 Jinnan Shibuya;Tokyo;Japan;35.6618400;139.6993100;+81 3-5728-3180;Mon-Sun 11:00-21:00
a1b2c3d4-1111-1111-1111-000000000008;Fashion Store Pitt Street;188 Pitt St;Sydney;Australia;-33.8715800;151.2092700;+61 2 8279 4288;Mon-Sun 09:00-19:00
a1b2c3d4-1111-1111-1111-000000000009;Fashion Store Via del Corso;Via del Corso 505;Rome;Italy;41.9089700;12.4766500;+39 06 6992 4820;Mon-Sun 10:00-21:00
a1b2c3d4-1111-1111-1111-000000000010;Fashion Store Kalverstraat;Kalverstraat 6;Amsterdam;Netherlands;52.3729800;4.8912100;+31 20 520 89 00;Mon-Sat 10:00-20:00 Sun 11:00-19:00
a1b2c3d4-1111-1111-1111-000000000011;Fashion Store Zeil;Zeil 85;Frankfurt;Germany;50.1143900;8.6803900;+49 69 9494 6220;Mon-Sat 10:00-20:00
a1b2c3d4-1111-1111-1111-000000000012;Fashion Store Michigan Avenue;840 N Michigan Ave;Chicago;USA;41.8986600;-87.6232200;+1 855-466-7467;Mon-Sun 10:00-21:00
a1b2c3d4-1111-1111-1111-000000000013;Fashion Store Queen Street;176 Queen St W;Toronto;Canada;43.6504500;-79.3882400;+1 855-466-7467;Mon-Sat 10:00-21:00 Sun 11:00-19:00
a1b2c3d4-1111-1111-1111-000000000014;Fashion Store Calle Florida;Calle Florida 651;Buenos Aires;Argentina;-34.5998700;-58.3744200;+54 11 5031-1001;Mon-Sat 10:00-21:00 Sun 12:00-20:00
a1b2c3d4-1111-1111-1111-000000000015;Fashion Store Myeongdong;14 Myeongdong-gil;Seoul;South Korea;37.5635000;126.9860000;+82 2-3789-4000;Mon-Sun 11:00-22:00
a1b2c3d4-1111-1111-1111-000000000016;Fashion Store Nanjing Road;789 Nanjing East Rd;Shanghai;China;31.2350600;121.4725100;+86 21-6352-8800;Mon-Sun 10:00-22:00
a1b2c3d4-1111-1111-1111-000000000017;Fashion Store Stroget;Vimmelskaftet 38;Copenhagen;Denmark;55.6770100;12.5762300;+45 33 32 62 00;Mon-Sat 10:00-20:00 Sun 11:00-18:00
a1b2c3d4-1111-1111-1111-000000000018;Fashion Store Mariahilfer Strasse;Mariahilfer Str. 38;Vienna;Austria;48.1968400;16.3541800;+43 1 523 09 60;Mon-Sat 09:30-20:00
a1b2c3d4-1111-1111-1111-000000000019;Fashion Store Bahnhofstrasse;Bahnhofstrasse 79;Zurich;Switzerland;47.3730600;8.5347000;+41 44 213 80 80;Mon-Sat 09:00-20:00
a1b2c3d4-1111-1111-1111-000000000020;Fashion Store Aleksanterinkatu;Aleksanterinkatu 21;Helsinki;Finland;60.1693400;24.9432000;+358 9 612 62 00;Mon-Fri 10:00-20:00 Sat 10:00-18:00 Sun 12:00-18:00
a1b2c3d4-1111-1111-1111-000000000021;Fashion Store Karl Johans Gate;Karl Johans gate 11;Oslo;Norway;59.9141300;10.7387300;+47 22 47 17 80;Mon-Fri 10:00-20:00 Sat 10:00-18:00
a1b2c3d4-1111-1111-1111-000000000022;Fashion Store Passeig de Gracia;Passeig de Gracia 11;Barcelona;Spain;41.3884400;2.1685700;+34 933 42 40 60;Mon-Sat 10:00-21:00 Sun 12:00-20:00
a1b2c3d4-1111-1111-1111-000000000023;Fashion Store Lijnbaan;Lijnbaan 50;Rotterdam;Netherlands;51.9221900;4.4753800;+31 10 404 53 00;Mon-Sat 10:00-18:00 Sun 12:00-17:00
a1b2c3d4-1111-1111-1111-000000000024;Fashion Store Istiklal Caddesi;Istiklal Cad. 48;Istanbul;Turkey;41.0333300;28.9779600;+90 212 243 90 00;Mon-Sun 10:00-22:00
a1b2c3d4-1111-1111-1111-000000000025;Fashion Store Mall of the Emirates;Mall of the Emirates;Dubai;UAE;25.1181200;55.2004800;+971 4 341 4155;Mon-Sun 10:00-22:00
